URL,Title,Publication Date
https://nos.nl/artikel/2326888-nieuwe-corona-maatregelen-dit-betekenen-ze-voor-jou,nieuwe corona - maatregelen   dit betekenen ze voor jou,12/03/2020
https://nos.nl/artikel/2326868-corona-maatregelen-thuisblijven-bij-milde-klachten-evenementen-massaal-afgelast,"Corona - maatregelen   thuisblijven bij milde klachten , evenementen massaal afgelast",12/03/2020
https://nos.nl/artikel/2326392-olieprijzen-kelderen-saudi-arabie-start-prijzenoorlog,"olieprijzen kelderen , Saudi - Arabi   start prijzenoorlog",09/03/2020
https://nos.nl/artikel/2313468-olielanden-proberen-de-prijs-op-te-drijven-minder-oppompen-of-niks-doen,Olielanden proberen de prijs op te drijven   minder oppompen of niks doen ?,06/12/2019
https://nos.nl/artikel/2325930-olieproducerende-landen-verlagen-de-productie-om-de-olieprijs-te-stutten,Olieproducerende landen verlagen de productie om de olieprijs te stutten,05/03/2020
https://nos.nl/artikel/2326392-olieprijzen-kelderen-saudi-arabie-start-prijzenoorlog.html,"olieprijzen kelderen , Saudi - Arabi   start prijzenoorlog",09/03/2020
https://nos.nl/artikel/2326859-ecb-pompt-extra-geld-in-economie-maar-renteverlaging-blijft-uit,"ECB pompt extra geld in economie , maar renteverlage blijft uit",12/03/2020
https://nos.nl/artikel/2301455-ecb-verlaagt-rente-en-stort-geld-in-de-economie-wat-hebben-we-eraan.html,ECB verlaagt rente en stort geld in de economie   wat hebben we eraan ?,12/09/2019
https://nos.nl/artikel/2264411-opkoopprogramma-ecb-eindigt-wat-levert-2600-miljard-euro-op.html,Opkoopprogramma ECB eindigt   wat levert 2600 miljard euro op ?,20/12/2018
https://nos.nl/artikel/2264411-opkoopprogramma-ecb-eindigt-wat-levert-2600-miljard-euro-op,Opkoopprogramma ECB eindigt   wat levert 2600 miljard euro op ?,20/12/2018
https://nos.nl/artikel/2272026-hoge-winst-voor-banken-extreem-lage-spaarrente-kan-dat-niet-anders,"Hoge winst voor banken , extreem lage spaarrente   kan dat niet ander ?",15/02/2019
https://nos.nl/artikel/2250218-prinsjesdagcijfers-koopkracht-stijgt-volgend-jaar-met-1-5-procent.html,"prinsjesdagcijfer   koopkracht stijgt volgend jaar meet 1,5 procent",13/09/2018
https://nos.nl/artikel/2249419-amerikaanse-bedrijven-in-nederland-tegen-afschaffen-dividendbelasting,Amerikaanse bedrijven in Nederland tegen afschaffen dividendbelaste,07/09/2018
https://nos.nl/artikel/2248375-onbegrip-over-compensatiemaatregelen-afschaffing-dividendbelasting,onbegrip over compensatiemaatregelen afschaffe dividendbelaste,31/08/2018
https://nos.nl/artikel/2237277-kamer-laat-rutte-zelf-opdraven-voor-antwoord-op-vragen-dividendbelasting.html,Kamer laat Rutte zelf opdraven voor antwoord op vragen dividendbelaste,19/06/2018
https://nos.nl/artikel/2229032-rutte-ik-had-moeten-nagaan-of-er-dividend-memo-s-waren.html,Rutte   ik have moeten nagaan of er dividend - memo s waren,25/04/2018
https://nos.nl/artikel/2228651-rutte-maakt-uitzondering-dividendbelasting-memo-s-openbaar.html,Rutte maakt uitzondere   dividendbelaste - memo s openbaar,23/04/2018
https://nos.nl/artikel/2228204-ministerie-wel-stukken-over-dividendbelasting-maar-niet-openbaar.html,"Ministerie   wel stukken over dividendbelaste , maar niet openbaar",20/04/2018
https://nos.nl/artikel/2228204-ministerie-wel-stukken-over-dividendbelasting-maar-niet-openbaar,"Ministerie   wel stukken over dividendbelaste , maar niet openbaar",20/04/2018
https://nos.nl/artikel/2228651-rutte-maakt-uitzondering-dividendbelasting-memo-s-openbaar,Rutte maakt uitzondere   dividendbelaste - memo s openbaar,23/04/2018
https://nos.nl/artikel/2201878-grote-bedrijven-zetten-onderhandelaars-kabinet-onder-druk,  Grote bedrijven zetten onderhandelaar kabinet onder druk,08/11/2017
https://nos.nl/artikel/2201878-grote-bedrijven-zetten-onderhandelaars-kabinet-onder-druk.html,  Grote bedrijven zetten onderhandelaar kabinet onder druk,08/11/2017
https://nos.nl/artikel/2195407-nieuw-kabinet-wil-belastingen-met-5-miljard-verlagen.html,nieuw kabinet wil belastingen meet 5 miljard verlagen,29/09/2017
https://nos.nl/artikel/2196425-hypotheekrenteaftrek-wordt-versneld-afgebouwd,hypotheekrenteaftrek wordt versneld afgebouwd,05/10/2017
https://nos.nl/artikel/2195407-nieuw-kabinet-wil-belastingen-met-5-miljard-verlagen,nieuw kabinet wil belastingen meet 5 miljard verlagen,29/09/2017
https://nos.nl/artikel/2196425-hypotheekrenteaftrek-wordt-versneld-afgebouwd.html,hypotheekrenteaftrek wordt versneld afgebouwd,05/10/2017
https://nos.nl/collectie/9592/artikel/2136219-hoe-is-het-een-jaar-na-aanvaring-met-dijkhoff-in-dorp-oranje,hoe be het een jaar na aanvaring meet Dijkhoff in dorp Oranje ?,06/10/2016
https://nos.nl/op3/collectie/9592/artikel/2136015-een-jaar-na-de-balkanroute-wasim-integreert-als-een-speer-in-amsterdam,een jaar na de Balkanroute   Wasim integreert al een speer in Amsterdam,04/10/2016
