Date,EnergyPrice
25/11/2017,48.51
26/11/2017,46.26
27/11/2017,41.12
28/11/2017,49.94
29/11/2017,68.54
30/11/2017,67.12
1/12/2017,56.34
2/12/2017,43.75
3/12/2017,48.07
4/12/2017,44.49
5/12/2017,46.24
7/12/2017,45.48
8/12/2017,45.67
9/12/2017,45.85
10/12/2017,46.22
11/12/2017,56.49
12/12/2017,61.86
14/12/2017,46.29
15/12/2017,51.91
17/12/2017,45.47
18/12/2017,50.92
19/12/2017,60
20/12/2017,62.3
22/12/2017,44.41
23/12/2017,41.56
24/12/2017,38.1
26/12/2017,41.17
28/12/2017,41.52
29/12/2017,41.04
30/12/2017,37.16
31/12/2017,29.67
2/01/2018,37.11
5/01/2018,36.59
7/01/2018,24.92
9/01/2018,45.81
10/01/2018,42.48
12/01/2018,46.28
13/01/2018,42.42
14/01/2018,39.26
15/01/2018,40.53
16/01/2018,40.29
18/01/2018,41.29
19/01/2018,41
20/01/2018,38.86
22/01/2018,38.38
23/01/2018,38.98
24/01/2018,38.27
25/01/2018,38
26/01/2018,45.15
28/01/2018,32.47
29/01/2018,37.17
31/01/2018,35.93
1/02/2018,37.87
2/02/2018,41.01
3/02/2018,41.11
4/02/2018,38.58
5/02/2018,45.28
6/02/2018,47.28
7/02/2018,46.37
9/02/2018,40.49
10/02/2018,40.83
11/02/2018,35.02
12/02/2018,40.49
13/02/2018,40.38
16/02/2018,41.77
17/02/2018,41.18
18/02/2018,39.65
19/02/2018,50.36
20/02/2018,49.47
21/02/2018,46.81
22/02/2018,47.15
23/02/2018,50.27
24/02/2018,44.66
25/02/2018,46.28
26/02/2018,59.79
27/02/2018,54.7
28/02/2018,52.28
1/03/2018,71.53
3/03/2018,64.33
4/03/2018,57.43
5/03/2018,58.8
6/03/2018,50.42
7/03/2018,48.8
10/03/2018,35.57
11/03/2018,31.85
12/03/2018,50.29
13/03/2018,63.38
14/03/2018,52.19
15/03/2018,47.63
17/03/2018,52.55
18/03/2018,39.59
19/03/2018,54.2
20/03/2018,48.12
21/03/2018,53.8
22/03/2018,56.37
23/03/2018,53.48
24/03/2018,46.39
25/03/2018,43.31
26/03/2018,53.01
27/03/2018,49.47
28/03/2018,49.23
29/03/2018,49.91
30/03/2018,46.73
31/03/2018,47.41
1/04/2018,42.08
2/04/2018,40.19
3/04/2018,42.01
4/04/2018,36.86
5/04/2018,38.49
6/04/2018,38.17
7/04/2018,38.23
8/04/2018,29.53
9/04/2018,46.17
10/04/2018,44.67
11/04/2018,44.85
12/04/2018,46.26
14/04/2018,37.84
15/04/2018,36.78
16/04/2018,46.63
17/04/2018,43.81
18/04/2018,41.51
19/04/2018,42.42
21/04/2018,37.24
22/04/2018,20.9
23/04/2018,39.52
24/04/2018,42.02
25/04/2018,38.45
26/04/2018,34.95
27/04/2018,43.05
28/04/2018,37
29/04/2018,36.07
30/04/2018,38.17
1/05/2018,44.84
3/05/2018,47.45
4/05/2018,44.54
5/05/2018,39.32
6/05/2018,31.72
7/05/2018,47.14
9/05/2018,45.81
10/05/2018,41.41
11/05/2018,47.1
12/05/2018,37.02
13/05/2018,32.61
15/05/2018,44.64
17/05/2018,42.71
18/05/2018,51.66
20/05/2018,39.19
21/05/2018,37.87
22/05/2018,54.57
24/05/2018,50.56
25/05/2018,53.95
26/05/2018,42.99
27/05/2018,42.04
29/05/2018,57.67
30/05/2018,64.92
31/05/2018,66.46
2/06/2018,50.25
5/06/2018,58.04
9/06/2018,49.79
10/06/2018,48.64
12/06/2018,50.7
13/06/2018,49.93
14/06/2018,53.28
15/06/2018,55.94
